DATE,TIMESTAMP,XLAT,XLONG,HGT,RAINC,RAINNC,T_500hPa,T_700hPa,T_850hPa,QVAPOR_500,QVAPOR_700,QVAPOR_850,QCLOUD_500,QCLOUD_700,QCLOUD_850,QRAIN_500,QRAIN_700,QRAIN_850,QICE_500,QICE_700,QICE_850,QSNOW_500,QSNOW_700,QSNOW_850,QGRAUP_500,QGRAUP_700,QGRAUP_850,PRECIPITACION,LLUVIA
2015-02-04[00:00:00],1423004416.00000000,41.37946320,-0.43902588,211.52383423,0.00000000,0.00000000,240.90385437,259.76171875,270.94744873,0.00037618,0.00142704,0.00128252,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00005801,0.00002083,0.00000939,0.00006731,0.00012702,0.00003043,0.00000001,0.00000004,0.00000001,2.73699999,1
2015-02-04[00:00:00],1423004416.00000000,41.37855911,-0.40307617,219.82812500,0.00000000,0.00000000,240.91398621,259.83551025,270.95471191,0.00037555,0.00139629,0.00127525,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00005915,0.00002866,0.00000931,0.00006849,0.00015309,0.00002990,0.00000001,0.00000005,0.00000002,2.73300004,1
2015-02-04[00:00:00],1423004416.00000000,41.37764740,-0.36715698,235.48742676,0.00000000,0.00000000,240.92189026,259.86495972,270.92239380,0.00037609,0.00138372,0.00130438,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00006060,0.00002954,0.00000924,0.00006650,0.00016574,0.00002190,0.00000001,0.00000005,0.00000001,2.48000002,1
2015-02-04[00:00:00],1423004416.00000000,41.37672043,-0.33120728,256.19415283,0.00000000,0.00000000,240.93302917,259.85385132,270.88809204,0.00037737,0.00138959,0.00131950,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00006204,0.00003126,0.00000913,0.00006099,0.00017176,0.00000445,0.00000001,0.00000005,0.00000000,2.41100001,1
2015-02-04[00:00:00],1423004416.00000000,41.37577820,-0.29528809,273.44958496,0.00000000,0.00000000,240.93501282,259.84854126,270.88629150,0.00037967,0.00138299,0.00132370,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00006025,0.00003120,0.00000914,0.00005410,0.00017272,0.00000000,0.00000001,0.00000005,0.00000000,2.37800002,1
2015-02-04[00:00:00],1423004416.00000000,41.37483597,-0.25936890,287.25006104,0.00000000,0.00000000,240.92503357,259.84576416,270.87207031,0.00038000,0.00136970,0.00133472,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00005407,0.00002930,0.00000921,0.00004506,0.00015750,0.00000000,0.00000001,0.00000004,0.00000000,2.20700002,1
2015-02-04[00:00:00],1423004416.00000000,41.37387466,-0.22341919,295.94735718,0.00000000,0.00000000,240.90679932,259.82379150,270.83666992,0.00037912,0.00134013,0.00135279,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004527,0.00002840,0.00000919,0.00003409,0.00012909,0.00000073,0.00000001,0.00000002,0.00000000,1.83500004,1
2015-02-04[00:00:00],1423004416.00000000,41.37289429,-0.18750000,300.95602417,0.00000000,0.00000000,240.90214539,259.82235718,270.79110718,0.00037856,0.00133218,0.00138698,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00003383,0.00002598,0.00000945,0.00002497,0.00009901,0.00000107,0.00000001,0.00000001,0.00000000,1.88800001,1
2015-02-04[00:00:00],1423004416.00000000,41.37192154,-0.15158081,300.96456909,0.00000000,0.00000000,240.90155029,259.82989502,270.71325684,0.00037182,0.00133800,0.00142867,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002018,0.00002325,0.00000988,0.00001681,0.00008940,0.00000391,0.00000000,0.00000001,0.00000000,1.92999995,1
2015-02-04[00:00:00],1423004416.00000000,41.37092209,-0.11566162,298.12982178,0.00000000,0.00000000,240.90107727,259.84808350,270.60311890,0.00036676,0.00136195,0.00148463,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000381,0.00002085,0.00000995,0.00001065,0.00007885,0.00000204,0.00000000,0.00000001,0.00000000,1.97700000,1
